Author,Year,Title,DOI_or_URL
Abe-Inge,2024,"Plant-based dietary shift: Current trends, barriers, and carriers",10.1016/j.tifs.2023.104292
Adam,2016,What is the effectiveness of obesity related interventions at retail grocery stores and supermarkets? —a systematic review,https://doi.org/10.1186/s12889-016-3985-x
Adleberg,2018,Protests Intervention Report,https://animalcharityevaluators.org/wp-content/uploads/2022/04/protest-intervention-report.pdf
Adriaanse,2018,Breaking Habits Using Implementation Intentions,10.1007/978-3-319-97529-0_10
Afshin,2017,The prospective impact of food pricing on improving dietary consumption: A systematic review and meta-analysis.,http://doi.org/10.1371/journal.pone.0172277
Al-Khudairy,2019,Choice architecture interventions to improve diet and/or dietary behaviour by healthcare staff in high-income countries: a systematic review,http://doi.org/10.1136/bmjopen-2018-023687
Allan,2016,Environmental interventions for altering eating behaviours of employees in the workplace: a systematic review,http://doi.org/10.1111/obr.12470
Alwarith,2019,Nutrition interventions in rheumatoid arthritis: the potential use of plant-based diets. A review,https://doi.org/10.3389/fnut.2019.00141
Ammann,2023,A review on policy instruments for sustainable food consumption,https://doi.org/10.1016/j.spc.2023.01.012
An,2019,A systematic review of food pantry-based interventions in the USA,10.1017/S1368980019000144
Anderson,2021,Improving Healthy Food Choices in Low-Income Settings in the United States Using Behavioral Economic-Based Adaptations to Choice Architecture,10.3389/fnut.2021.734991
Arno,2016,The efficacy of nudge theory strategies in influencing adult dietary behaviour: a systematic review and meta-analysis,https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-016-3272-x
Atanasova,2022,The impact of the consumer and neighbourhood food environment on dietary intake and obesity-related outcomes: A systematic review of causal impact studies,https://doi.org/10.1016/j.socscimed.2022.114879
Banerjee,2023,Nudge Plus: Putting Citizens at the Heart of Behavioural Public Policy,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4315671
Barlow,2016,"Unhealthy diets, obesity and time discounting: a systematic literature review and network analysis",https://doi.org/10.1111%2Fobr.12431
Barrett,2023,The Effect of Retail Food Environment Interventions on Dietary Behavior in Postsecondary Education Settings: A Systematic Review and Meta-analysis,10.1016/j.tjnut.2023.08.034
Benningstad,2020,Dissociating meat from its animal origins: A systematic literature review,https://www.sciencedirect.com/science/article/pii/S019566631930724X?via%3Dihub
Bergquist,2023,Field interventions for climate change mitigation behaviors: A second-order meta-analysis,https://doi.org/10.1073%2Fpnas.2214851120
Bianchi (a),2018,Interventions targeting conscious determinants of human behaviour to reduce the demand for meat: a systematic review with qualitative comparative analysis,https://ijbnpa.biomedcentral.com/articles/10.1186/s12966-018-0729-6
Bianchi (b),2018,Restructuring physical micro-environments to reduce the demand for meat: a systematic review and qualitative comparative analysis,https://www.thelancet.com/journals/lanplh/article/PIIS2542-5196(18)30188-8/fulltext
Blackford,2021,Nudging interventions on sustainable food consumption: a systematic review,https://www.whp-journals.co.uk/JPS/article/view/676
Blaga,2017,Use and effectiveness of behavioural economics in interventions for lifestyle risk factors of non-communicable diseases: a systematic review with policy implications,http://doi.org/10.1177/1757913917720233
