author,year,title,doi_or_url,venue,source,intervention_condition,brief_description,study_num_within_paper,outcome,n_t_post,n_c_post,n_t_total_pop,n_c_total_pop,eff_type,u_s_d,ctrl_sd,neg_null_pos,delay,theory,secondary_theory,self_report,outcome_category,cafeteria_or_restaurant__or_store_based,leaflet,video,delivery_method,internet,cluster_assigned,multi_component,delay_post_endline,public_pre_analysis_plan,open_data,emotional_activation,advocacy_org,country,population,age_info_if_given,notes
Beresford,2006,Low-fat dietary pattern and risk of colorectal cancer: the Women’s Health Initiative Randomized Controlled Dietary Modification Trial,10.1001/jama.295.6.643,JAMA,Ronto,low-fat diet,"intensive behavioral modification pro- gram, using 18 group sessions in the first year and quarterly sessions there- after, led by specially trained and cer- tified nutritionists.",one,"Red meat, medium servings/d",19541,29294,19541,29294,d_i_d,0.20000000000000018,0.7,1,1095,Persuasion,health,Y,servings of meat per day,N,N,N,health consultation,N,N,Y,730,N,N,N,N,United States,postmenopausal women,,"encourages substitution to fish. This is a really tough call, because it does show overall reductions (I calculated the effects before I understood that) but looking at the supplementary materials on the trial (https://sp.whi.org/researchers/studydoc/WHI%20and%20ES1%20Manual%20of%20Operations/1993-2005%20WHI%20CT%20and%20OS/Vol%202,%2006%20-%20Dietary%20Modification%20(DM).pdf), we see that part of the counseling was ""Identify ways to increase fish consumption."""
Dannenberg,2024,The effects of observability and an information nudge on food choice,10.1016/j.jeem.2023.102829,Journal of Environmental Economics and Management,internet search,private low veg,survey in which university students are told that 10% of students in a survey are vegetarian/vegan and then 20% are given a private opportunity to select a voucher for a meal with meat or not,one,does the meal have meat or not,33,34,33,17,d_i_p,0.07,0.385,0,0,Psychology,NA,N,binary_for_meat_meal_or_not,N,N,N,internet,N,N,N,0,N,N,N,N,Germany,university students and affiliates,,"no delay, but a strong study and shows clear backlash effects to being observed. Maybe annoyance with the blatantness of the experimental procedure? LIke the *clear* attempt to manipulate people into eating less meat (nudging them about the environmental consequences of meat and then telling them ""your choice will be public."") By contrast,the nudge alone seems to produce reasonable effects. That, or there's just random variation and if you average all the treatment groups you get about the baseline effect. Noting that we found a 2023 preprint version of this paper but are taking stats from the published Food Policy article."
Dannenberg,2024,The effects of observability and an information nudge on food choice,10.1016/j.jeem.2023.102829,Journal of Environmental Economics and Management,internet search,private high veg,survey in which university students are told that 60% of students in a survey are vegetarian/vegan and then 20% are given a private opportunity to select a voucher for a meal with meat or not,one,does the meal have meat or not,32,34,32,17,d_i_p,0.031000000000000028,0.385,0,0,Psychology,NA,N,binary_for_meat_meal_or_not,N,N,N,internet,Y,N,N,0,N,N,N,N,Germany,university students and affiliates,,"no delay, but a strong study and shows clear backlash effects to being observed. Maybe annoyance with the blatantness of the experimental procedure? LIke the *clear* attempt to manipulate people into eating less meat (nudging them about the environmental consequences of meat and then telling them ""your choice will be public."") By contrast,the nudge alone seems to produce reasonable effects. That, or there's just random variation and if you average all the treatment groups you get about the baseline effect. Noting that we found a 2023 preprint version of this paper but are taking stats from the published Food Policy article."
Dannenberg,2024,The effects of observability and an information nudge on food choice,10.1016/j.jeem.2023.102829,Journal of Environmental Economics and Management,internet search,public low veg,survey in which university students are told that 10% of students in a survey are vegetarian/vegan and then 20% are given an opportunity to select a voucher for a meal with meat or not but the results are public,one,does the meal have meat or not,33,31,33,15,d_i_p,0.021999999999999964,0.359,0,0,Psychology,NA,N,binary_for_meat_meal_or_not,N,N,N,internet,Y,N,N,0,N,N,N,N,Germany,university students and affiliates,,"no delay, but a strong study and shows clear backlash effects to being observed. Maybe annoyance with the blatantness of the experimental procedure? LIke the *clear* attempt to manipulate people into eating less meat (nudging them about the environmental consequences of meat and then telling them ""your choice will be public."") By contrast,the nudge alone seems to produce reasonable effects. That, or there's just random variation and if you average all the treatment groups you get about the baseline effect. Noting that we found a 2023 preprint version of this paper but are taking stats from the published Food Policy article."
Dannenberg,2024,The effects of observability and an information nudge on food choice,10.1016/j.jeem.2023.102829,Journal of Environmental Economics and Management,internet search,private high veg,survey in which university students are told that 60% of students in a survey are vegetarian/vegan and then 20% are given an opportunity to select a voucher for a meal with meat or not but the results are public,one,does the meal have meat or not,29,31,29,16,d_i_p,-0.02200000000000002,0.359,0,0,Psychology,NA,N,binary_for_meat_meal_or_not,N,N,N,internet,Y,N,N,0,N,N,N,N,Germany,university students and affiliates,,"no delay, but a strong study and shows clear backlash effects to being observed. Maybe annoyance with the blatantness of the experimental procedure? LIke the *clear* attempt to manipulate people into eating less meat (nudging them about the environmental consequences of meat and then telling them ""your choice will be public."") By contrast,the nudge alone seems to produce reasonable effects. That, or there's just random variation and if you average all the treatment groups you get about the baseline effect. Noting that we found a 2023 preprint version of this paper but are taking stats from the published Food Policy article."
Delichatsios,2001,EatSmart: efficacy of a multifaceted preventive nutrition intervention in clinical practice,10.1016/S0091-7435(01)80004-9,Preventive Medicine,Ronto,Multifaceted Preventive Nutrition Intervention,"(1) mailed personalized dietary recom- mendations and educational booklets focusing on fruits and vegetables, red m’eat, and dairy foods, tai- lored to patients’baseline intake and stage of readiness to change eating behaviors; (2) verbal endorsement by the primary care provider of the benefits of these rec- ommendations; and (3) two motivational counseling sessions with telephone counselors to set dietary goals.",one,weekly servings of red and/or processed meat,3,3,195,252,d_i_m,0,1.6,0,90,Persuasion,health,Y,servings of red and processed meat per week,N,N,N,health consultation,N,Y,Y,90,N,N,N,N,United States,adults,,"underpowered (6 clusters). The SD is something back of the envelope based on the confidence intervals. The overall effect is an ""Intent-to treat analysis adjusted for age, sex, race, and baseline value of the food intake."""
Epperson,2021,Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3938994,NA,internet search,VR video,360° video about the living conditions of pigs in intensive farming via a virtual reality (VR) headset combined with willingness to pay aspect (to avoid the film),one,food purchases at Canteen,124,124,124,124,reg_coef,0.033,0.31,0,7,Persuasion,animal welfare,N,proportion_of_vegetarian_meals,N,N,Y,video,N,N,N,7,https://doi.org/10.1257/rct.5015-1.3,NA,Y,Animal Equality UK,Germany,university students,,not randomized: subjects have some ability to select into and out of treatment with willingness to pay variance. But treatment is still plausibly exogenous because of the random variation of the actual price point so it's borderline
Frie,2022,Efectiveness of an Online Programme to Tackle Individual’s Meat Intake through SElf‑regulation (OPTIMISE): A randomised controlled trial,10.1007/s00394-022-02828-9,European Journal of Nutrition,undermind.ai,OPTIMISE,Online Programme to Tackle Individual Meat Intake through SElf-regulation where participants choose strategies to cut back on meat consumption and then get daily reminders to implement those strategies and comparisons to their initial meat consumption,one,meat frequency questionnaire,67,65,67,65,d_i_d,5,207,0,56,Persuasion,health & environment & psychological conditioning,Y,NA,N,N,N,internet,Y,N,Y,56,N,N,N,N,United Kingdom,online sample,,"horse race design ( control ""participants were asked to try to reduce their meat consumption during the following eight weeks with no further guidance"")"
Garnett,2020,Order of meals at the counter and distance between options affect student cafeteria vegetarian sales,10.1038/s43016-020-0132-8,NA,internet search,college A spring short distance,putting vegetarian meals first (VegFirst) in a cafeteria setting with the non-veg option 85 cm behind in college A,one,proportion of vegetarian meals sold,4,5,200,200,d_i_p,-0.018,0.175,0,92,choice architecture,NA,N,proportion_of_vegetarian_meals,Y,N,N,cafeteria,N,Y,N,0,N,https://www.repository.cam.ac.uk/items/57700283-a8df-4610-9881-f734e7331324,N,N,United Kingdom,university students,,"not randomized. Arguably the 'weekly' alteration is in the right ballpark but it's not really random. For the purposes of this robustness check we're looking at all the weekly alteration interventions, each as its own data point"
Garnett,2020,Order of meals at the counter and distance between options affect student cafeteria vegetarian sales,10.1038/s43016-020-0132-8,NA,internet search,college B summer long distance,putting vegetarian meals first (VegFirst) in a cafeteria setting with the non-veg option 181 cm behind in college B,one,proportion of vegetarian meals sold,5,5,300,300,d_i_p,0.046,0.182,1,96,choice architecture,NA,N,proportion_of_vegetarian_meals,Y,N,N,cafeteria,N,Y,N,0,N,https://www.repository.cam.ac.uk/items/57700283-a8df-4610-9881-f734e7331324,N,N,United Kingdom,university students,,"not randomized. Arguably the 'weekly' alteration is in the right ballpark but it's not really random. For the purposes of this robustness check we're looking at all the weekly alteration interventions, each as its own data point"
