author,year,title,doi_or_url,venue,source,intervention_condition,brief_description,study_num_within_paper,outcome,n_t_post,n_c_post,n_t_total_pop,n_c_total_pop,eff_type,u_s_d,ctrl_sd,neg_null_pos,delay,theory,secondary_theory,self_report,outcome_category,cafeteria_or_restaurant__or_store_based,leaflet,video,delivery_method,internet,cluster_assigned,multi_component,delay_post_endline,public_pre_analysis_plan,open_data,emotional_activation,advocacy_org,country,population,age_info_if_given,inclusion_exclusion
Anderson,2017,An Experimental Investigation of the Impact of Video Media on Pork Consumption,10.31219/osf.io/fapu8,advocacy publication,prior review: Mathur (2021),360-degree virtual reality video,"an evaluation of Animal Equality’s iAnimal campaign, ""a virtual reality project that creates a 360-degree, immersive experience to give viewers a look into the day-to-day life of animals raised for food in factory farms and slaughterhouses""",one,whether participants abstain from eating pork or not,29,29,594,297,d_i_p,0.04999999999999999,0.33,1,30,Persuasion,animal welfare,Y,binary,N,N,Y,video,N,Y,N,30,https://osf.io/7rcfj,https://osf.io/7wh93/,N,Faunalytics,United States,university students,NA,1
Anderson,2017,An Experimental Investigation of the Impact of Video Media on Pork Consumption,10.31219/osf.io/fapu8,advocacy publication,prior review: Mathur (2021),2D video,an evaluation of Animal Equality’s  traditional 2D video outreach,one,whether participants abstain from eating pork or not,30,29,594,297,d_i_p,0.03999999999999998,0.33,1,30,Persuasion,animal welfare,Y,binary,N,N,Y,video,N,Y,N,30,https://osf.io/7rcfj,https://osf.io/7wh93/,N,Faunalytics,United States,university students,NA,1
Carfora (a),2017,Correlational study and randomised controlled trial for understanding and changing red meat consumption: The role of eating identities,10.1016/j.socscimed.2017.01.005,Social Science and Medicine,prior review: Bianchi (2018a),text reminders,daily text message reminders to promote the self-monitoring of red meat consumption,one,red meat consumption  (RMC),116,112,116,112,d_i_d,1.2799999999999998,2.4,1,7,Persuasion,health &  nudge & text-based reminders,Y,self-reported meat consumption,N,N,N,text message,N,N,Y,0,N,N,N,N,Italy,university students,NA,1
Carfora (a),2019,How to reduce red and processed meat consumption by daily text messages targeting environment or health benefits,10.1016/j.jenvp.2019.101319,Journal of Environmental Psychology,prior review: Chang (2023),health + environmental condition,daily messages on the expected consequences of low red and processed meat consumption (RPMC) on health and the environment.,one,self-reported Red and Processed Meat Consumption,72,68,72,23,d_i_d,0.7000000000000002,3.81,1,30,Persuasion,environment & health & nudge & text-based reminders,Y,self-reported meat consumption,N,N,N,text message,N,N,Y,30,N,N,N,N,Italy,university students,NA,1
Carfora (a),2019,How to reduce red and processed meat consumption by daily text messages targeting environment or health benefits,10.1016/j.jenvp.2019.101319,Journal of Environmental Psychology,prior review: Chang (2023),environmental condition,daily messages on the expected consequences of low red and processed meat consumption (RPMC) on the environment,one,self-reported Red and Processed Meat Consumption,62,68,62,22,d_i_d,1,3.81,1,30,Persuasion,environment & nudge & text-based reminders,Y,self-reported meat consumption,N,N,N,text message,N,N,Y,30,N,N,N,N,Italy,university students,NA,1
Carfora (a),2019,How to reduce red and processed meat consumption by daily text messages targeting environment or health benefits,10.1016/j.jenvp.2019.101319,Journal of Environmental Psychology,prior review: Chang (2023),health condition,daily messages on the expected consequences of low red and processed meat consumption (RPMC) on health,one,self-reported Red and Processed Meat Consumption,56,68,56,23,d_i_d,0.9799999999999995,3.81,1,30,Persuasion,health & nudge & text-based reminders,Y,self-reported meat consumption,N,N,N,text message,N,N,Y,30,N,N,N,N,Italy,university students,NA,1
Carfora (b),2017,Randomised controlled trial of a text messaging intervention for reducing processed meat consumption: The mediating roles of anticipated regret and intention,10.1016/j.appet.2017.06.025,Appetite,prior review: Bianchi (2018a),text reminders,first an email about the recommended dosage of procssed meat consumption and then daily text message reminders to promote the self-monitoring of processed meat consumption,one,processed meat consumption (PMC),57,55,57,55,d_i_d,1.36,2.18,1,7,Persuasion,health & nudge &  text-based reminders,Y,self-reported meat consumption,N,N,N,text message,N,N,Y,0,N,N,N,N,Italy,university students,NA,1
Carfora (b),2019,Informational and emotional daily messages to reduce red and processed meat consumption,/10.1016/j.appet.2019.104331,Appetite,prior review: Kwasny (2022),emotion,"two weeks of messages ""informing them about the health and environmental impact of excessive RPMC (e.g., “If you eat an excessive amount of red and processed meat, you will not protect your health from colon cancer, and at the same time you will not protect the environment from the release of harmful greenhouse gases”)"" along with an emotional component asking them to think about their anticipated regret",one,food frequency questionnaire (servings of red and processed meat per week),40,68,40,34,d_i_d,1,4,0,28,Persuasion,health & environment,Y,self-reported meat consumption,N,N,N,text message,N,N,N,14,N,N,N,N,Italy,university students,mean age = 20,1
Carfora (b),2019,Informational and emotional daily messages to reduce red and processed meat consumption,/10.1016/j.appet.2019.104331,Appetite,prior review: Kwasny (2022),information,"two weeks of messages ""informing them about the health and environmental impact of excessive RPMC (e.g., “If you eat an excessive amount of red and processed meat, you will not protect your health from colon cancer, and at the same time you will not protect the environment from the release of harmful greenhouse gases”)""",one,food frequency questionnaire (servings of red and processed meat per week),58,68,58,34,d_i_d,-1,4,0,28,Persuasion,health & environment,Y,self-reported meat consumption,N,N,N,text message,N,N,N,14,N,N,N,N,Italy,university students,mean age = 20,1
Delichatsios,2001,Randomized Trial of a “Talking Computer” to Improve Adults' Eating Habits,10.4278/0890-1171-15.4.215,American Journal of Health Promotion,prior review: Ronto (2022),talking computer intervention,"""Weekly communicationfor 6 months via a totally automated, computer-based voice system. Amongintervention group subjects, the system monitored dietary habitsand provided educational feedback, advice, and behavioral counseling. Control group subjects received physical activity promotioncounseling.""",one,red and processed meat via PrimeScreen Instrument,61,53,61,53,d_i_d,0,0.88,0,180,Persuasion,health,Y,self-reported meat consumption,N,N,N,interactive compute,N,N,N,0,N,N,N,N,United States,sedentary adults with non-optimal diets,mean age = 45.7-46.2,1
